Source,Address,Request Details,Opened,Closed,Status,Supervisor District,Neighborhood,Latitude,Longitude,Media URL
Web,Intersection of 11TH AVE and LAKE ST,Damaged_vandalism,02/14/2019 09:30:44 PM,03/31/2019 02:33:24 PM,Closed,1,Presidio Terrace,37.786458536156,-122.47011521039,
Phone,"611 PERSIA AVE, SAN FRANCISCO, CA, 94112",Near_communication_line,02/15/2019 08:29:00 AM,03/31/2019 02:37:34 PM,Closed,11,Excelsior,37.72082901001,-122.43091583252,
Phone,Intersection of LOPEZ AVE and PACHECO ST,Fallen_tree,02/15/2019 03:16:00 PM,03/31/2019 02:36:28 PM,Closed,7,Forest Hill,37.748512268066,-122.462684631348,
Mobile/Open311,Intersection of DUBLIN ST and LA GRANDE AVE,Other,02/20/2019 05:51:51 PM,03/31/2019 01:36:47 PM,Closed,11,Excelsior,37.719195428222,-122.425839908757,http://mobile311.sfgov.org/reports/10513753/photos
Phone,"371 SILVER AVE, SAN FRANCISCO, CA, 94112",Fallen_tree,02/27/2019 12:51:00 AM,03/31/2019 02:17:30 PM,Closed,11,Mission Terrace,37.728633880615,-122.429046630859,
Mobile/Open311,"130 DORCHESTER WAY, SAN FRANCISCO, CA, 94127",Damaged_vandalism,02/27/2019 07:31:00 AM,03/31/2019 01:56:20 PM,Closed,7,Laguna Honda,37.741292724633,-122.463115478154,http://mobile311.sfgov.org/reports/10539454/photos
Mobile/Open311,"445 MIRAMAR AVE, SAN FRANCISCO, CA, 94112",Damaged_vandalism,02/27/2019 06:37:00 PM,03/31/2019 01:54:46 PM,Closed,7,Westwood Park,37.725649117527,-122.458355343083,http://mobile311.sfgov.org/reports/10543147/photos
Mobile/Open311,"138 DORCHESTER WAY, SAN FRANCISCO, CA, 94127",Damaged_vandalism,02/28/2019 05:59:00 PM,03/31/2019 01:55:37 PM,Closed,7,Laguna Honda,37.741414987413,-122.463040657945,http://mobile311.sfgov.org/reports/10547614/photos
Phone,"129 MERCED AVE, SAN FRANCISCO, CA, 94127",Lifted_sidewalk_tree_roots,04/17/2018 09:00:00 AM,,Open,7,Laguna Honda,37.744380950928,-122.461410522461,
Mobile/Open311,Intersection of FUNSTON AVE and ULLOA ST,Damaged_vandalism,01/21/2019 05:32:00 PM,,Open,7,West Portal,37.741531552834,-122.468971362869,
Phone,"559 11TH AVE, SAN FRANCISCO, CA, 94118",About_to_fall,02/07/2019 09:13:00 AM,04/01/2019 08:43:11 AM,Closed,1,Inner Richmond,37.777751922607,-122.469551086426,
Phone,"1286 34TH AVE, SAN FRANCISCO, CA, 94122",Fallen_tree,02/08/2019 10:00:00 PM,04/01/2019 01:12:49 PM,Closed,4,Outer Sunset,37.76314163208,-122.493057250977,
Mobile/Open311,"41 PARSONS ST, SAN FRANCISCO, CA, 94118",Other,11/13/2018 04:09:00 PM,,Open,1,Lone Mountain,37.775099370664,-122.455363758022,http://mobile311.sfgov.org/reports/9804447/photos
Phone,Intersection of FULTON ST and 33RD AVE,Fallen_tree,11/13/2018 08:14:00 AM,04/01/2019 09:49:34 AM,Closed,1,Golden Gate Park,37.772178649902,-122.49275970459,
Phone,Intersection of 36TH AVE and FULTON ST,Fallen_tree,11/21/2018 08:31:00 AM,04/01/2019 09:48:52 AM,Closed,1,Golden Gate Park,37.772033691406,-122.495971679688,
Phone,"467 PENNSYLVANIA AVE, SAN FRANCISCO, CA, 94107",Lifted_sidewalk_tree_roots,12/18/2018 03:03:00 PM,,Open,10,Potrero Hill,37.760620117188,-122.393211364746,
Phone,"151 ALICE B TOKLAS PL, SAN FRANCISCO, CA, 94109",Damaged_vandalism,01/29/2019 11:28:00 AM,04/02/2019 10:08:00 AM,Closed,6,Tenderloin,37.78528213501,-122.420433044434,
Phone,"140 NORTHWOOD DR, SAN FRANCISCO, CA, 94112",Pruning_request,02/13/2019 12:00:00 PM,04/02/2019 08:53:08 AM,Closed,7,Westwood Park,37.730094909668,-122.458869934082,
Phone,Intersection of ITALY AVE and EDINBURGH ST,Fallen_tree,02/13/2019 03:18:00 PM,04/02/2019 08:55:55 AM,Closed,11,Excelsior,37.716571807861,-122.435531616211,
Phone,Intersection of DOUGLASS ST and CORWIN ST,Shrubbery_blocking_visibility,02/18/2019 08:58:00 AM,,Open,8,Eureka Valley,37.757091522217,-122.439002990723,
Web,Intersection of GOUGH ST and PACIFIC AVE,Pruning_request,02/20/2019 10:10:51 PM,04/02/2019 10:12:00 AM,Closed,2,Pacific Heights,37.7944162,-122.4265422,
Phone,"2500 PINE ST, SAN FRANCISCO, CA, 94115",Fallen_tree,06/30/2018 05:03:00 PM,06/30/2018 10:15:34 PM,Closed,2,Lower Pacific Heights,37.787616729736,-122.437126159668,
Phone,Intersection of BAY SHORE BLVD and SALINAS AVE,Fallen_tree,06/30/2018 03:57:00 PM,06/30/2018 10:15:32 PM,Closed,10,Portola,37.721515655518,-122.399925231934,
Web,Intersection of NORIEGA ST and 26TH AVE,Damaged_vandalism,06/30/2018 01:34:28 PM,03/11/2019 11:38:53 AM,Closed,4,Outer Sunset,37.7539059,-122.4839938,
Phone,"1617 DOLORES ST, SAN FRANCISCO, CA, 94110",Hitting_window_or_building,06/29/2018 12:29:00 PM,06/29/2018 01:26:43 PM,Closed,8,Noe Valley,37.743518829346,-122.424110412598,
Mobile/Open311,"218 SHIPLEY ST, SAN FRANCISCO, CA, 94107",Other,06/28/2018 02:35:00 PM,06/28/2018 10:10:23 PM,Closed,6,South of Market,37.779548359139,-122.403236869837,http://mobile311.sfgov.org/reports/9199249/photos
Phone,"1360 CHURCH ST, SAN FRANCISCO, CA, 94114",Lifted_sidewalk_tree_roots,06/28/2018 11:57:00 AM,,Open,8,Noe Valley,37.749053955078,-122.427375793457,
Web,"1089 YORK ST, SAN FRANCISCO, CA, 94110",Damaged_vandalism,06/28/2018 09:22:46 AM,06/28/2018 01:08:28 PM,Closed,9,Mission,37.754712,-122.4081715,http://mobile311.sfgov.org/reports/9197105/photos
Phone,"332 LIBERTY ST, SAN FRANCISCO, CA, 94114",Sprinkler_system_issues,06/23/2018 03:46:00 PM,,Open,8,Dolores Heights,37.757347106934,-122.428749084473,
Phone,"1999 HYDE ST, SAN FRANCISCO, CA, 94109",Lifted_sidewalk_tree_roots,06/27/2018 02:40:00 PM,,Open,3,Russian Hill,37.799179077148,-122.41911315918,
Phone,"1031 KEY AVE, SAN FRANCISCO, CA, 94124",Weeding,09/10/2018 11:20:00 AM,04/02/2019 01:43:00 PM,Closed,10,Bret Harte,37.719181060791,-122.396774291992,
Mobile/Open311,"1814 MARKET ST, SAN FRANCISCO, CA, 94102",Other,12/26/2018 01:27:00 PM,,Open,8,Mint Hill,37.77181110814,-122.424084087948,http://mobile311.sfgov.org/reports/9977980/photos
Mobile/Open311,"1050 HARRISON ST, SAN FRANCISCO, CA, 94103",Damaged_vandalism,12/28/2018 11:04:00 AM,,Open,6,South of Market,37.776496666667,-122.405236666667,http://mobile311.sfgov.org/reports/9985379/photos
Web,"2311 CABRILLO ST, SAN FRANCISCO, CA, 94121",Damaged_vandalism,01/10/2019 04:14:16 PM,,Open,1,Outer Richmond,37.774316,-122.4835269,
Mobile/Open311,"430 OAK ST, SAN FRANCISCO, CA, 94102",Pruning_request,01/17/2019 12:35:01 PM,04/03/2019 07:37:29 AM,Closed,5,Hayes Valley,37.774535419436,-122.426395763054,http://mobile311.sfgov.org/reports/10370005/photos
Phone,"543 34TH AVE, SAN FRANCISCO, CA, 94121",Other_enter_additional_details_below,01/18/2019 12:51:00 PM,,Open,1,Outer Richmond,37.778762817383,-122.494453430176,
Web,"479 34TH AVE, SAN FRANCISCO, CA, 94121",Damaged_vandalism,01/21/2019 11:08:44 AM,,Open,1,Outer Richmond,37.7801134,-122.4946048,
Phone,"2794 24TH ST, SAN FRANCISCO, CA, 94110",Lifted_sidewalk_tree_roots,01/22/2019 03:55:00 PM,,Open,9,Mission,37.752994537354,-122.408012390137,
Phone,"3927 CLAY ST, SAN FRANCISCO, CA, 94118",Hitting_window_or_building,01/24/2019 02:43:00 PM,04/03/2019 07:41:26 AM,Closed,2,Presidio Heights,37.787609100342,-122.457649230957,
Phone,"2335 LARKIN ST, SAN FRANCISCO, CA, 94109",About_to_fall,01/30/2019 10:29:00 AM,,Open,2,Russian Hill,37.799430847168,-122.420928955078,
Phone,"717 LA PLAYA, SAN FRANCISCO, CA, 94121",Hitting_window_or_building,02/06/2019 09:11:00 AM,,Open,1,Outer Richmond,37.774658203125,-122.510276794434,
Mobile/Open311,"616 44TH AVE, SAN FRANCISCO, CA, 94121",Damaged_vandalism,02/09/2019 10:24:53 AM,,Open,1,Sutro Heights,37.7768387413,-122.504775077219,http://mobile311.sfgov.org/reports/10468648/photos
Web,"2529 UNION ST, SAN FRANCISCO, CA, 94123",Property_damage,02/11/2019 01:03:00 AM,04/03/2019 07:48:46 AM,Closed,2,Cow Hollow,37.7961389,-122.440911,
Phone,"1267 WALLER ST, SAN FRANCISCO, CA, 94117",Hitting_window_or_building,02/11/2019 10:34:00 AM,04/03/2019 07:50:54 AM,Closed,5,Buena Vista,37.769207000732,-122.444480895996,
Phone,"1861 GREENWICH ST, SAN FRANCISCO, CA, 94123",Near_communication_line,02/11/2019 12:20:00 PM,04/03/2019 07:53:54 AM,Closed,2,Union Street,37.79955291748,-122.430267333984,
Phone,Intersection of 29TH AVE and GEARY BLVD,Hanging_limb,02/13/2019 12:51:00 PM,,Open,1,Outer Richmond,37.779891967773,-122.489013671875,
Phone,Intersection of JULIAN AVE and 15TH ST,Other,06/26/2018 10:54:00 AM,06/28/2018 05:25:00 PM,Closed,9,Mission,37.766597747803,-122.421058654785,
Phone,"2884 BRYANT ST, SAN FRANCISCO, CA, 94110",Fallen_tree,06/25/2018 12:20:00 PM,06/25/2018 07:57:58 PM,Closed,9,Mission,37.748546600342,-122.40892791748,
Phone,"1239 24TH AVE, SAN FRANCISCO, CA, 94122",Near_communication_line,06/25/2018 11:24:00 AM,06/26/2018 12:05:11 PM,Closed,4,Outer Sunset,37.764423370361,-122.482734680176,
Phone,"1024 MENDELL ST, SAN FRANCISCO, CA, 94124",Fallen_tree,06/24/2018 02:20:00 PM,06/28/2018 12:25:05 AM,Closed,10,Bayview,37.736827850342,-122.38850402832,
Phone,"1879 PALOU AVE, SAN FRANCISCO, CA, 94124",Lifted_sidewalk_tree_roots,04/09/2018 04:14:00 PM,,Open,10,Silver Terrace,37.736808776855,-122.396202087402,
Mobile/Open311,"752 JUNIPERO SERRA BLVD, SAN FRANCISCO, CA, 94127",Damaged_vandalism,08/17/2018 01:51:00 PM,,Open,7,Stonestown,37.725320241269,-122.472500587152,http://mobile311.sfgov.org/reports/9416534/photos
Phone,"3125 FOLSOM ST, SAN FRANCISCO, CA, 94110",Sewer_damage_tree_roots,09/03/2018 03:51:00 PM,04/03/2019 08:37:44 AM,Closed,9,Bernal Heights,37.747901916504,-122.413459777832,
Phone,Intersection of PANORAMA DR and OLYMPIA WAY,Blocking_signs,10/10/2018 10:10:00 AM,,Open,7,Midtown Terrace,37.751235961914,-122.452133178711,
Phone,"606 40TH AVE, SAN FRANCISCO, CA, 94121",Dead_tree,10/10/2018 11:11:00 PM,,Open,1,Outer Richmond,37.777229309082,-122.50048828125,
Mobile/Open311,"1414 36TH AVE, SAN FRANCISCO, CA, 94122",Other,10/16/2018 10:45:52 AM,,Open,4,Outer Sunset,37.760556032293,-122.495308745148,http://mobile311.sfgov.org/reports/9679033/photos
Phone,"20 BURLWOOD DR, SAN FRANCISCO, CA, 94127",Pruning_request,10/27/2018 11:34:00 AM,04/03/2019 09:41:24 AM,Closed,7,Sherwood Forest,37.734859466553,-122.454895019531,
Phone,"1079 BROADWAY, SAN FRANCISCO, CA, 94133",About_to_fall,10/31/2018 02:44:00 PM,,Open,3,Russian Hill,37.796680450439,-122.414756774902,
Mobile/Open311,"1140 NORIEGA ST, SAN FRANCISCO, CA, 94122",Pruning_request,11/05/2018 04:52:00 PM,04/03/2019 07:14:27 AM,Closed,7,Golden Gate Heights,37.754325,-122.47577,http://mobile311.sfgov.org/reports/9770470/photos
Phone,"863 ARGUELLO BLVD, SAN FRANCISCO, CA, 94118",Hitting_window_or_building,11/08/2018 08:52:00 AM,04/03/2019 07:17:21 AM,Closed,1,Inner Richmond,37.774765014648,-122.458595275879,
Phone,"350 CHESTER AVE, SAN FRANCISCO, CA, 94132",Other_enter_additional_details_below,11/08/2018 10:03:00 AM,,Open,7,Merced Heights,37.709541320801,-122.470512390137,
Phone,"3035 GEARY BLVD, SAN FRANCISCO, CA, 94118",Pruning_request,11/12/2018 09:42:00 AM,04/03/2019 09:50:46 AM,Closed,1,Lone Mountain,37.781700134277,-122.451736450195,
Mobile/Open311,"1308 24TH AVE, SAN FRANCISCO, CA, 94122",Other,11/12/2018 01:32:00 PM,04/03/2019 09:51:35 AM,Closed,4,Outer Sunset,37.763101807831,-122.482469491775,http://mobile311.sfgov.org/reports/9798658/photos
Phone,"329 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127",Hitting_window_or_building,11/21/2018 06:29:00 AM,04/03/2019 09:55:10 AM,Closed,7,West Portal,37.737491607666,-122.469337463379,
Phone,"864 PORTOLA DR, SAN FRANCISCO, CA, 94127",About_to_fall,11/21/2018 09:06:00 AM,04/03/2019 09:55:53 AM,Closed,7,Laguna Honda,37.743701934814,-122.454933166504,
Mobile/Open311,"536 STAPLES AVE, SAN FRANCISCO, CA, 94112",Fallen_tree,11/21/2018 06:53:00 PM,04/03/2019 06:48:10 AM,Closed,7,Westwood Park,37.729163230432,-122.453251686061,
Phone,"2319 14TH AVE, SAN FRANCISCO, CA, 94116",Hanging_limb,11/23/2018 10:39:00 AM,04/03/2019 09:58:19 AM,Closed,7,Golden Gate Heights,37.744728088379,-122.470474243164,
Mobile/Open311,"355 SILVER AVE, SAN FRANCISCO, CA, 94112",Pruning_request,11/27/2018 10:05:57 PM,04/03/2019 09:59:23 AM,Closed,11,Mission Terrace,37.728733788849,-122.429462512134,
Web,Intersection of GREAT HWY and ORTEGA ST,Pruning_request,11/29/2018 04:41:34 PM,04/03/2019 07:03:47 AM,Closed,4,Outer Sunset,37.7507927,-122.50861,
Mobile/Open311,"335 CONGO ST, SAN FRANCISCO, CA, 94131",Pruning_request,11/30/2018 08:09:00 PM,04/03/2019 10:00:08 AM,Closed,7,Sunnyside,37.732129384531,-122.442018752325,
Mobile/Open311,"178 HEARST AVE, SAN FRANCISCO, CA, 94131",Pruning_request,12/01/2018 10:15:00 AM,04/03/2019 10:02:20 AM,Closed,7,Sunnyside,37.73072,-122.441513333333,http://mobile311.sfgov.org/reports/9876103/photos
Mobile/Open311,"162 HEARST AVE, SAN FRANCISCO, CA, 94131",Other,12/01/2018 10:16:00 AM,04/03/2019 10:01:40 AM,Closed,7,Sunnyside,37.730746666667,-122.44117,http://mobile311.sfgov.org/reports/9876111/photos
Phone,"410 15TH AVE, SAN FRANCISCO, CA, 94118",Fallen_tree,12/01/2018 10:55:00 AM,04/03/2019 10:02:59 AM,Closed,1,Inner Richmond,37.780319213867,-122.473793029785,
Phone,"2395 47TH AVE, SAN FRANCISCO, CA, 94116",Fallen_tree,12/03/2018 09:52:00 AM,04/03/2019 06:45:05 AM,Closed,4,Outer Sunset,37.741840362549,-122.505767822266,
Phone,"144 COLE ST, SAN FRANCISCO, CA, 94117",Dead_tree,11/30/2018 11:06:00 AM,,Open,5,Panhandle,37.773658752441,-122.450881958008,
Phone,Intersection of FULTON ST and 30TH AVE,Blocking_sidewalk,12/11/2018 09:50:00 AM,,Open,1,Outer Richmond,37.772323608398,-122.489540100098,
Mobile/Open311,Intersection of MAGELLAN AVE and PLAZA ST,Damaged_vandalism,12/14/2018 09:02:00 AM,04/03/2019 06:35:03 AM,Closed,7,Forest Hill,37.748594,-122.459937,http://mobile311.sfgov.org/reports/9933358/photos
Phone,Intersection of BROTHERHOOD WAY and JUNIPERO SERRA BLVD ON RAMP,Fallen_tree,12/15/2018 12:52:00 PM,04/03/2019 06:39:56 AM,Closed,7,Merced Heights,37.712703704834,-122.470581054688,
Phone,Intersection of BROTHERHOOD WAY and JUNIPERO SERRA BLVD ON RAMP,Fallen_tree,12/15/2018 12:56:00 PM,04/03/2019 06:35:53 AM,Closed,7,Merced Heights,37.712703704834,-122.470581054688,
Mobile/Open311,"433 GUERRERO ST, SAN FRANCISCO, CA, 94110",Damaged_vandalism,12/14/2018 11:09:52 AM,,Open,8,Mission Dolores,37.764215595124,-122.424027845378,http://mobile311.sfgov.org/reports/9934169/photos
Mobile/Open311,"1755 BUSH ST, SAN FRANCISCO, CA, 94109",Other,12/27/2018 09:29:00 AM,,Open,5,Cathedral Hill,37.787908,-122.426054,http://mobile311.sfgov.org/reports/9980661/photos
Phone,"6424 3RD ST, SAN FRANCISCO, CA, 94124",Weeding,12/31/2018 11:30:00 AM,,Open,10,Bret Harte,37.719802856445,-122.397010803223,
Mobile/Open311,"501 POWELL ST, SAN FRANCISCO, CA, 94108",Damaged_vandalism,01/02/2019 07:09:00 AM,,Open,3,Downtown / Union Square,37.789328669852,-122.408659795454,
Mobile/Open311,"800 VALENCIA ST, SAN FRANCISCO, CA, 94110",Other,01/02/2019 08:54:00 AM,,Open,8,Mission Dolores,37.759964,-122.421645,http://mobile311.sfgov.org/reports/10303963/photos
Phone,"4971 MISSION ST, SAN FRANCISCO, CA, 94112",Weeding,01/03/2019 10:10:00 AM,,Open,11,Excelsior,37.718849182129,-122.439002990723,
Web,"510 TOWNSEND ST, SAN FRANCISCO, CA, 94103",Damaged_vandalism,01/05/2019 09:11:00 AM,,Open,6,South of Market,37.7734844,-122.4000344,
Mobile/Open311,"357 WINDING WAY, SAN FRANCISCO, CA, 94112",Damaged_vandalism,01/05/2019 04:42:51 PM,,Open,11,Crocker Amazon,37.709286970595,-122.437967995304,http://mobile311.sfgov.org/reports/10320260/photos
Phone,"1914 FELL ST, SAN FRANCISCO, CA, 94117",Dead_tree,01/07/2019 04:12:00 PM,,Open,5,Panhandle,37.772686004639,-122.449523925781,
Phone,"766 SUTTER ST, SAN FRANCISCO, CA, 94109",About_to_fall,01/17/2019 09:42:00 AM,,Open,3,Lower Nob Hill,37.788761138916,-122.413101196289,
Mobile/Open311,"766 SUTTER ST, SAN FRANCISCO, CA, 94109",Damaged_vandalism,01/17/2019 11:31:13 AM,04/05/2019 03:24:00 AM,Closed,3,Lower Nob Hill,37.788678,-122.413144,http://mobile311.sfgov.org/reports/10369575/photos
Mobile/Open311,"766 SUTTER ST, SAN FRANCISCO, CA, 94109",Damaged_vandalism,01/17/2019 03:54:44 PM,,Open,3,Lower Nob Hill,37.788691,-122.413196,http://mobile311.sfgov.org/reports/10371292/photos
Phone,"1506 25TH AVE, SAN FRANCISCO, CA, 94122",Restake_tree,01/18/2019 12:28:00 PM,04/05/2019 05:18:00 AM,Closed,4,Outer Sunset,37.759353637695,-122.483116149902,
Phone,"1326 25TH AVE, SAN FRANCISCO, CA, 94122",Restake_tree,01/18/2019 07:01:00 PM,04/05/2019 03:45:00 AM,Closed,4,Outer Sunset,37.762729644775,-122.483352661133,
Mobile/Open311,"1596 CHURCH ST, SAN FRANCISCO, CA, 94131",Damaged_vandalism,01/19/2019 09:32:36 AM,04/05/2019 03:27:00 AM,Closed,8,Noe Valley,37.745462,-122.426942,http://mobile311.sfgov.org/reports/10378321/photos
Mobile/Open311,"1770 PINE ST, SAN FRANCISCO, CA, 94109",Damaged_vandalism,01/19/2019 10:32:00 AM,,Open,2,Pacific Heights,37.789085,-122.425049,http://mobile311.sfgov.org/reports/10378588/photos
Phone,Intersection of LIBERTY ST and GUERRERO ST,Fallen_tree,01/20/2019 08:45:00 AM,04/04/2019 05:39:00 AM,Closed,8,Dolores Heights,37.757568359375,-122.423370361328,
Mobile/Open311,"910 SHOTWELL ST, SAN FRANCISCO, CA, 94110",Damaged_vandalism,01/20/2019 12:58:43 PM,,Open,9,Mission,37.753577,-122.415475,http://mobile311.sfgov.org/reports/10382113/photos
Phone,Intersection of MASON ST and PINE ST,Fallen_tree,01/22/2019 08:55:00 AM,,Open,3,Nob Hill,37.790882110596,-122.410621643066,
Mobile/Open311,Intersection of HOOKER ALY and MASON ST,Damaged_vandalism,01/22/2019 09:00:00 AM,,Open,3,Lower Nob Hill,37.79041,-122.410483,http://mobile311.sfgov.org/reports/10388112/photos
Mobile/Open311,"1801 BUCHANAN ST, SAN FRANCISCO, CA, 94115",Damaged_vandalism,01/23/2019 11:22:00 AM,,Open,5,Japantown,37.786496076768,-122.430087458456,http://mobile311.sfgov.org/reports/10395076/photos
Phone,"2600 18TH ST, SAN FRANCISCO, CA, 94110",Lifted_sidewalk_tree_roots,01/23/2019 01:58:00 PM,,Open,10,Mission,37.761913299561,-122.408218383789,
Phone,"1766 FELL ST, SAN FRANCISCO, CA, 94117",Restake_tree,02/02/2019 11:36:00 AM,04/05/2019 05:09:00 AM,Closed,5,Panhandle,37.772964477539,-122.447090148926,
Mobile/Open311,"414 TEHAMA ST, SAN FRANCISCO, CA, 94103",Damaged_vandalism,02/03/2019 08:45:00 PM,04/04/2019 11:33:07 AM,Closed,6,South of Market,37.780808333333,-122.404891666667,http://mobile311.sfgov.org/reports/10444585/photos
Web,"1173 NAPLES ST, SAN FRANCISCO, CA, 94112",Damaged_vandalism,02/14/2019 02:41:09 PM,,Open,11,Crocker Amazon,37.712291206626,-122.437300768661,
Phone,"138 CERVANTES BLVD, SAN FRANCISCO, CA, 94123",Pruning_request,02/20/2019 04:02:00 PM,04/04/2019 11:09:39 AM,Closed,2,Marina,37.804500579834,-122.439781188965,
Mobile/Open311,"3523 19TH ST, SAN FRANCISCO, CA, 94110",Other,02/26/2019 10:16:00 AM,,Open,8,Mission Dolores,37.760053,-122.422079,http://mobile311.sfgov.org/reports/10535799/photos
Web,"399 LAUREL ST, SAN FRANCISCO, CA, 94118",Other,02/26/2019 03:30:00 PM,04/05/2019 02:26:17 PM,Closed,2,Presidio Heights,37.7878993,-122.4505057,
Mobile/Open311,"1207 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110",Pruning_request,02/26/2019 04:55:00 PM,,Open,9,Mission,37.753732710206,-122.416290170795,http://mobile311.sfgov.org/reports/10538321/photos
Web,"2350 BROADWAY, SAN FRANCISCO, CA, 94115",Damaged_vandalism,06/21/2018 03:24:09 PM,06/22/2018 12:35:19 PM,Closed,2,Pacific Heights,37.794465,-122.435829,http://mobile311.sfgov.org/reports/9167963/photos
Mobile/Open311,"1490 19TH ST, SAN FRANCISCO, CA, 94107",Pruning_request,06/19/2018 07:29:00 PM,06/22/2018 12:38:47 PM,Closed,10,Potrero Hill,37.761338,-122.396869,http://mobile311.sfgov.org/reports/9159285/photos
Mobile/Open311,"303 DOLORES ST, SAN FRANCISCO, CA, 94110",Pruning_request,03/27/2018 10:50:00 AM,,Open,8,Mission Dolores,37.764350040851,-122.42621686321,http://mobile311.sfgov.org/reports/8793648/photos
Mobile/Open311,"1201 MARKET ST, SAN FRANCISCO, CA, 94103",Other,04/26/2018 08:14:00 AM,04/04/2019 05:59:00 AM,Closed,6,South of Market,37.778533257892,-122.414822740229,http://mobile311.sfgov.org/reports/8921514/photos
Phone,"342 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",Backfill_tree_basin,06/27/2018 02:18:00 PM,04/04/2019 06:02:00 AM,Closed,3,North Beach,37.798538208008,-122.407348632813,
Phone,"3437 SCOTT ST, SAN FRANCISCO, CA, 94123",Lifted_sidewalk_tree_roots,07/13/2018 01:52:00 PM,,Open,2,Marina,37.801635742188,-122.441612243652,
Phone,"400 PRENTISS ST, SAN FRANCISCO, CA, 94110",Weeding,07/31/2018 10:27:00 AM,,Open,9,Bernal Heights,37.73815536499,-122.412261962891,
Mobile/Open311,"157 SHRADER ST, SAN FRANCISCO, CA, 94117 (Virtual)",Damaged_vandalism,09/11/2018 08:51:37 PM,,Open,1,Lone Mountain,37.773475,-122.45282,http://mobile311.sfgov.org/reports/9528541/photos
Phone,"1440 HARRISON ST, SAN FRANCISCO, CA, 94103",Other_enter_additional_details_below,10/11/2018 01:41:00 PM,,Open,6,South of Market,37.771209716797,-122.41202545166,
Mobile/Open311,"200 DORE ST, SAN FRANCISCO, CA, 94103",Damaged_vandalism,10/31/2018 10:46:00 AM,,Open,6,South of Market,37.77196706989,-122.410592411505,http://mobile311.sfgov.org/reports/9745896/photos
Mobile/Open311,"1784 CHURCH ST, SAN FRANCISCO, CA, 94131",Lifted_sidewalk_tree_roots,11/01/2018 07:47:00 PM,,Open,8,Noe Valley,37.742255081954,-122.426702925741,
Phone,"49 SEVILLE ST, SAN FRANCISCO, CA, 94112",Other_enter_additional_details_below,11/14/2018 10:40:00 AM,,Open,11,Crocker Amazon,37.711875915527,-122.434616088867,
Mobile/Open311,"1810 PINE ST, SAN FRANCISCO, CA, 94109",Damaged_vandalism,11/24/2018 10:56:00 AM,04/04/2019 11:46:34 AM,Closed,2,Pacific Heights,37.789008,-122.425566,
